title,brand,category,price,rating,description
iPhone 15 Pro 128GB,Apple,Electronics,999.0,4.5,Latest iPhone with titanium design and A17 Pro chip
Samsung Galaxy S24 Ultra,Samsung,Electronics,899.0,4.3,Flagship Android phone with S Pen and advanced camera
MacBook Pro 14-inch M3 Pro,Apple,Computers,1999.0,4.7,Professional laptop with M3 Pro chip and Liquid Retina XDR display
Dell XPS 13 Laptop,Dell,Computers,1299.0,4.2,Ultra-thin laptop with InfinityEdge display
Sony WH-1000XM5 Headphones,Sony,Audio,399.0,4.6,Noise-canceling wireless headphones with 30-hour battery
Bose QuietComfort 45,Bose,Audio,329.0,4.4,Premium noise-canceling headphones with comfortable fit
Nintendo Switch OLED,Nintendo,Gaming,349.0,4.5,Handheld gaming console with OLED screen
PlayStation 5,Sony,Gaming,499.0,4.8,Next-generation gaming console with 4K gaming
iPad Air 5th Gen,Apple,Tablets,599.0,4.4,Powerful tablet with M1 chip and 10.9-inch display
Samsung Galaxy Tab S9,Samsung,Tablets,799.0,4.3,Android tablet with S Pen and AMOLED display
